1e77c960-4632-433d-be98-4c776e756181,36,62,110,148,200,268,431,541,666,785
f0f9e27f-1684-4219-8349-cb0623b6030b,25,46,90,115,165,216,323,423,501,599
aacef252-2a6d-403d-94bb-134e7a292fc3,173,243,359,502,703,885,1205,1510,1706,1921
0e12f2d5-7ad0-4afc-8e9c-62873f01a97e,19,31,67,93,164,224,342,487,632,782
edb409c2-e2ae-48a3-bba1-5bf3534afda3,16,22,34,46,69,86,129,166,205,233
19054b59-01f9-4568-b540-51e444999448,18,34,64,90,136,177,279,362,442,514
a050556d-7f58-40e2-9478-214633d18ecf,123,213,409,598,828,1060,1463,1858,2230,2471
f57d02f9-8637-41fe-a09a-b46a99f2d8be,9,22,40,52,73,92,128,163,192,217
b86c1706-3e99-4362-b0cf-012f8be799b4,6,10,14,18,33,38,65,82,96,106
a8a34fc7-f745-406d-ba60-1312beb839ba,13,28,51,73,92,105,144,171,192,228
f1b43e3a-26c7-4d7d-8f38-5e76df6760b8,196,283,443,571,737,845,1020,1162,1275,1360
62a029bf-d857-435c-b267-8fd940686474,4,4,6,8,10,21,28,37,48,56
e63118b8-cd47-4516-aea7-cdb5fe31b36f,18,29,55,82,118,152,205,241,314,353
5dc9c3a2-0bf8-4e54-94a3-ae2ee30bfbe1,3,7,18,33,50,59,80,105,128,145
47c18be0-173a-4dfe-ac33-a5aa6f2f415c,3,4,8,15,17,24,39,65,81,113
ab94c3c8-ca6f-4e6f-b8e0-482e5bd226b7,20,36,76,110,174,228,323,436,549,645
4c5fb1d1-524f-4b1f-a58f-560e288d44ae,59,87,154,203,293,365,526,737,892,1069
1605586e-98ce-430b-b8eb-503955cb23c1,50,86,157,216,334,450,645,838,1021,1180
a6d9beb5-dbb8-4822-9614-f4a6b8ed45fe,5,15,19,32,71,118,217,301,491,722
1c5d35b6-cccd-41d7-bfb6-38baf002b6df,12,21,64,98,126,154,208,265,310,356
6321b21e-d1ba-437d-955d-ee8c39cda6e5,27,43,86,146,225,314,486,611,750,913
096bca31-9948-47d3-a397-a4e67fcfa4ab,12,16,26,32,42,62,93,122,147,168
052bea48-02d9-408c-b8f1-b86baa70cc7c,7,11,21,27,41,44,63,79,105,131
9c8c1edc-749b-4a5b-919a-0b553a3546c0,7,9,20,36,82,94,136,179,224,274
dff13b50-deab-4f29-a210-f9b12dce9639,7,18,42,57,78,103,160,249,361,478
676fb526-376b-4521-a98e-fbcc51b54ed8,168,297,585,897,1380,1766,2661,3842,4846,
4236b817-4725-4e58-9181-a426823d4625,15,31,50,77,107,133,189,264,350,445
89522838-cf6e-43ce-973f-ad91fb8cb36b,47,88,180,255,447,604,949,1249,1544,1815
f029d89d-7bfd-43e4-9c93-03198ea2bba2,92,137,230,303,457,602,884,1155,1456,1741
2b5c0ac6-034a-4aac-abe3-070dc4d24f6c,73,104,171,240,349,462,657,799,949,1089
33ce2334-c4ad-4c5f-b68a-aa6f0b496cb0,34,54,94,144,202,245,337,446,556,631
9c9f4cb7-9759-4958-b231-4e23cf0efe55,244,497,907,1177,1718,2218,3519,4588,,
3e2fe9a8-c6b0-47b7-b94e-f639c323b07f,52,107,200,295,411,499,657,802,979,1080
c3e140bb-2a13-422b-8380-b1966ad61b35,77,112,194,304,515,713,1215,1575,1964,2383
f1a1d483-9fac-4ec9-b7ca-8876a679abea,28,49,81,108,139,191,290,367,455,509
3830d98c-7f7b-4300-9e97-b0750c71cd5a,68,201,428,644,1002,1321,1964,2465,3025,3609
5bdcf7a9-825a-4152-aa35-af4f50ee97f7,11,23,47,73,94,118,170,223,286,363
e35d2690-4a90-43aa-ae20-cb6abf4261ca,10,22,31,46,76,93,132,162,201,238
0caa55df-f0d5-42fc-ac39-a19139b8eeb6,14,24,33,45,61,82,114,144,160,170
6a24f9b9-c93f-4a69-8e71-88fd0bd20458,32,59,104,165,268,366,498,664,808,965
5ff2c473-7847-4a8c-b5f3-8d55c965f44c,3,3,6,11,20,25,51,80,105,132
2db6d12d-19f1-4766-b7eb-db269efda169,15,22,33,43,58,73,104,157,237,280
df020ec6-8981-4549-8794-3ba92fa8f038,20,28,50,71,105,135,227,298,356,398
df971065-7f83-4137-a425-b8854a09ca9f,26,43,80,105,150,183,283,386,468,572
499b6112-6c28-4b9c-bb5b-9fa4f8f45fdd,1,1,4,7,12,17,29,43,73,99
81b7e57c-2562-4405-b5e0-7ac69b33b27b,52,76,160,248,414,550,867,1124,1394,693
dc04d33a-f079-4470-a4b1-4f7cd5456ef4,222,377,742,1123,1602,2056,2906,3666,4463,
eaade593-3499-4b21-a0c3-e6207657c886,42,88,159,255,352,448,637,880,1019,1196
79e6d83b-702b-46a6-865a-d68b98f74312,8,10,16,19,31,38,66,150,253,317
7411efeb-f524-46a4-bccf-eabfcfd77951,3,6,11,13,20,35,54,71,82,106
ff233e7c-0b55-46d4-9a21-919a1ac006d0,12,36,78,136,215,297,515,733,886,1040
8b63bd35-1b34-4dc4-98cb-892df611cf4e,613,1216,2519,3988,,,,,,
1d389511-be71-4061-ad14-796ca44e31bc,5,9,25,49,78,107,157,206,235,256
c025bc49-80a1-4515-b047-09b48d70498a,143,228,387,554,980,1390,1861,2363,2888,3524
f12f24cc-71da-4aae-b78c-2ee1401948e2,13,33,71,133,267,355,522,671,794,918
324722a5-774a-434e-86c6-8cdf0f1a3dd2,2,5,12,19,29,46,89,118,139,163
