num_lines,right_lines,blanks,time
30702,26290,False,8.90541696548462
24021,17313,True,4.689653158187866
27846,17483,False,5.294489145278931
23715,23137,False,4.595517158508301
27081,26336,False,4.344010829925537
27489,26798,False,4.753823757171631
16932,14506,True,3.3492822647094727
7293,5776,True,0.8809268474578857
27897,20061,True,3.53532338142395
25449,21326,True,4.465041875839233
25908,21459,True,4.368481874465942
24378,19021,True,4.959453105926514
20451,14034,True,3.8053665161132812
27336,26619,False,4.050434589385986
23358,21521,False,4.823524236679077
25908,25210,False,5.1384499073028564
36720,27965,True,5.143981218338013
25296,17804,False,4.800425052642822
32946,32142,False,6.373419284820557
20604,8735,False,2.874993085861206
34272,29472,False,6.877282381057739
39780,38725,False,7.552899599075317
31722,26338,True,3.970864772796631
30651,26671,False,5.8222339153289795
29937,27702,False,5.474323987960815
29121,28411,False,5.706655740737915
17034,13723,True,4.03697657585144
26469,25790,False,5.568779706954956
28509,27753,False,5.028552293777466
33456,32639,False,6.826107978820801
20298,19822,False,3.4294495582580566
4743,4637,False,1.0926427841186523
28815,24879,True,5.124622821807861
4029,3933,False,0.38675785064697266
33048,23061,False,6.3318400382995605
22797,21056,False,3.860938310623169
4131,4031,False,0.37956714630126953
30855,21155,True,6.297795295715332
22593,22040,False,3.8544139862060547
20502,17812,False,3.717317819595337
32895,14634,False,6.769924879074097
21624,21055,False,3.5417656898498535
31722,31032,False,6.5446765422821045
24429,22962,False,4.7420573234558105
25296,11479,False,4.772622585296631
28254,27515,False,5.079117298126221
14229,12805,False,2.139374017715454
42381,34455,True,10.708983182907104
25908,23508,False,4.624636888504028
34272,24550,False,6.466760873794556
11220,8827,True,1.2355616092681885
26622,21640,True,4.475940942764282
14535,12252,True,2.7949373722076416
32538,30259,False,5.758827209472656
18207,14171,True,3.5200562477111816
36618,34224,False,7.571932792663574
28101,27447,False,5.243736743927002
20298,19842,False,3.2724101543426514
41463,40403,False,7.954693794250488
22644,21991,False,4.00674843788147
16218,11129,True,3.461564779281616
21012,15149,True,4.382949352264404
38250,34351,False,8.603362083435059
32130,31198,False,6.0154993534088135
35139,30605,False,8.138953685760498
17034,16558,False,3.3292076587677
31824,31043,False,6.571226596832275
37230,36338,False,8.448357105255127
8925,7127,True,1.9478144645690918
26877,26265,False,5.419883966445923
37944,29344,True,7.610396862030029
41565,37712,False,9.57226824760437
18870,18347,False,3.5816214084625244
38811,37852,False,8.258416414260864
24684,11514,False,3.8462133407592773
38760,37812,False,7.872627258300781
16371,15983,False,3.1472201347351074
30243,22665,True,5.720498561859131
16320,11144,True,2.922968626022339
